participant,feature,value
p0,engine power,1
p0,tire tread,1
p0,wheel radius,1
p0,body shape,1
p0,steering sensitivity,1
p0,brake sensitivity,1
p0,wheel width,0
p0,color,0
p0,max speed,0
p0,rear steering,0
p1,engine power,1
p1,tire tread,1
p1,wheel radius,1
p1,wheel width,1
p1,body shape,1
p1,steering sensitivity,1
p1,rear steering,1
p1,brake sensitivity,1
p1,max speed,1
p1,color,1
p2,engine power,1
p2,tire tread,1
p2,wheel radius,1
p2,wheel width,1
p2,body shape,1
p2,steering sensitivity,1
p2,brake sensitivity,1
p2,rear steering,0
p2,color,0
p2,max speed,0
p3,engine power,1
p3,wheel width,1
p3,body shape,1
p3,steering sensitivity,1
p3,brake sensitivity,1
p3,max speed,1
p3,color,0
p3,rear steering,0
p3,wheel radius,0
p3,tire tread,0
p4,engine power,1
p4,wheel radius,1
p4,wheel width,1
p4,body shape,1
p4,steering sensitivity,1
p4,rear steering,1
p4,brake sensitivity,1
p4,max speed,1
p4,color,1
p4,tire tread,0
p5,engine power,1
p5,body shape,1
p5,wheel width,0
p5,steering sensitivity,0
p5,color,0
p5,wheel radius,0
p5,max speed,0
p5,rear steering,0
p5,tire tread,0
p5,brake sensitivity,0
p6,tire tread,1
p6,wheel radius,1
p6,body shape,1
p6,steering sensitivity,1
p6,brake sensitivity,1
p6,color,1
p6,wheel width,0
p6,rear steering,0
p6,max speed,0
p6,engine power,0
p7,engine power,1
p7,tire tread,1
p7,body shape,1
p7,steering sensitivity,1
p7,max speed,1
p7,color,1
p7,wheel width,0
p7,wheel radius,0
p7,brake sensitivity,0
p7,rear steering,0
p8,wheel width,1
p8,steering sensitivity,1
p8,max speed,1
p8,color,1
p8,body shape,0
p8,wheel radius,0
p8,engine power,0
p8,rear steering,0
p8,tire tread,0
p8,brake sensitivity,0
p9,engine power,1
p9,tire tread,1
p9,wheel width,1
p9,body shape,1
p9,steering sensitivity,1
p9,rear steering,1
p9,max speed,1
p9,color,1
p9,wheel radius,0
p9,brake sensitivity,0
p10,tire tread,1
p10,wheel width,1
p10,body shape,1
p10,brake sensitivity,1
p10,max speed,1
p10,color,1
p10,steering sensitivity,0
p10,wheel radius,0
p10,engine power,0
p10,rear steering,0
p11,tire tread,1
p11,wheel radius,1
p11,wheel width,1
p11,body shape,1
p11,steering sensitivity,1
p11,rear steering,1
p11,brake sensitivity,1
p11,max speed,1
p11,color,1
p11,engine power,0
